City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yerbogachën,61.2767,108.0108,-14.37,98,100,3.15,RU,1641164038
Obo,5.3998,26.4869,72.55,33,54,5.08,CF,1641164038
Zhangye,38.9342,100.4517,16.32,50,34,2.26,CN,1641164039
Tegul'det,57.3064,88.1667,13.03,86,100,8.7,RU,1641164039
Cape Town,-33.9258,18.4232,63.1,79,73,5.01,ZA,1641164501
Bras-Panon,-20.9967,55.6782,74.86,77,58,6.4,RE,1641164040
Kibala,9.1104,18.3463,73.35,35,0,0.0,TD,1641164040
Codrington,-38.2667,141.9667,62.69,54,76,13.44,AU,1641164040
Shubarshi,48.5872,57.1869,27.97,90,100,10.25,KZ,1641164041
Necochea,-38.5473,-58.7368,70.03,63,100,7.27,AR,1641164041
San Mateo del Mar,16.2,-95.0,81.25,69,0,2.13,MX,1641164042
Barguzin,53.6167,109.6167,-9.4,89,68,2.53,RU,1641164042
São José da Coroa Grande,-8.8978,-35.1478,79.18,79,47,11.23,BR,1641164042
Lüderitz,-26.6481,15.1594,63.34,71,0,18.77,NA,1641164553
San Quintín,30.4833,-115.95,60.93,37,48,9.69,MX,1641164043
Umluj,25.0213,37.2685,65.55,64,31,8.01,SA,1641164043
Copacabana,6.3463,-75.5089,72.03,88,75,9.22,CO,1641164044
Port Lincoln,-34.7333,135.8667,63.19,60,71,11.95,AU,1641164044
Anchorage,61.2181,-149.9003,1.31,77,1,0.0,US,1641164025
Anadyr,64.75,177.4833,28.9,92,20,20.0,RU,1641164045
Khandyga,62.6667,135.6,-53.75,99,90,2.28,RU,1641164045
Dondaicha,21.3333,74.5667,69.26,61,1,4.63,IN,1641164046
Faya,18.3851,42.4509,52.32,92,32,6.08,SA,1641164046
Benjamin Constant,-4.3831,-70.0311,86.05,70,40,3.44,BR,1641164046
Carnarvon,-24.8667,113.6333,73.47,83,1,13.8,AU,1641164047
Barra,-11.0894,-43.1417,75.78,83,89,7.83,BR,1641164047
Deloraine,-41.5333,146.6667,64.35,41,99,1.99,AU,1641164048
Amos,48.5669,-78.1162,-5.82,99,100,3.71,CA,1641164048
Luancheng,37.8792,114.6517,15.96,45,0,3.83,CN,1641164048
Chui,-33.6971,-53.4616,77.47,68,25,10.56,UY,1641164557
Bangkal,6.0667,121.0667,76.03,88,100,4.03,PH,1641164049
Tasiilaq,65.6145,-37.6368,8.76,58,100,5.84,GL,1641164558
Paka,4.6374,103.4368,80.53,83,100,12.66,MY,1641164050
Airai,-8.9266,125.4092,65.66,84,84,0.81,TL,1641164050
Tual,-5.6667,132.75,82.09,77,98,13.69,ID,1641164050
Mergen,49.1833,125.2167,-23.33,86,5,1.57,CN,1641164051
Kuusamo,65.9667,29.1833,4.78,97,93,4.85,FI,1641164051
Honningsvåg,70.9821,25.9704,20.95,58,20,8.05,NO,1641164051
Saint George,37.1041,-113.5841,45.36,31,1,3.0,US,1641164559
Babati,-4.2167,35.75,62.91,83,79,2.08,TZ,1641164052
Kupang,-10.1667,123.5833,79.38,100,20,1.14,ID,1641164052
Lerici,44.0759,9.9112,54.01,94,99,3.4,IT,1641164053
Teeli,51.0333,90.2333,-11.76,95,72,1.28,RU,1641164053
Kavaratti,10.5669,72.642,80.85,72,31,3.58,IN,1641164561
Bitung,1.4451,125.1824,74.25,83,99,6.46,ID,1641164054
Pudozh,61.8099,36.5345,-14.87,100,100,0.76,RU,1641164054
Lam Luk Ka,13.9323,100.7494,73.35,78,20,4.61,TH,1641163806
Troitskoye,52.9821,84.6757,9.09,87,96,6.06,RU,1641164055
Coquimbo,-29.9533,-71.3436,66.2,72,0,7.16,CL,1641164562
Aksay,47.26,39.87,25.25,78,20,8.99,RU,1641164055
Puerto Ayora,-0.7393,-90.3518,71.13,82,66,9.75,EC,1641164563
Vernon,50.2581,-119.2691,24.98,66,97,6.91,CA,1641163782
Cayenne,4.9333,-52.3333,80.1,82,75,7.0,GF,1641164409
Rawson,-43.3002,-65.1023,69.51,22,19,20.02,AR,1641164056
Prado,-17.3411,-39.2208,76.28,88,90,7.54,BR,1641163792
Arman',59.7,150.1667,-1.77,92,100,10.67,RU,1641164057
Pangoa,-12.1167,-73.0,75.04,90,99,0.98,PE,1641164057
Mogadishu,2.0371,45.3438,77.59,85,14,15.99,SO,1641164057
Māngrol,21.1167,70.1167,70.54,65,0,8.37,IN,1641164058
Forsytheganj,52.6333,29.7333,28.87,96,100,14.09,BY,1641164058
Chumphon,10.3333,98.8333,66.07,96,96,2.01,TH,1641164059
Nanortalik,60.1432,-45.2371,28.38,76,100,17.36,GL,1641164415
Yairipok,24.6667,94.0667,49.03,92,36,1.07,IN,1641164059
Lebyazh'ye,55.2689,66.4947,17.28,91,100,15.3,RU,1641164059
Venice,27.0998,-82.4543,77.14,92,1,8.05,US,1641163799
Hualmay,-11.0964,-77.6139,71.13,81,21,9.31,PE,1641164060
Florø,61.5996,5.0328,46.36,93,40,20.71,NO,1641163979
Ampanihy,-24.7,44.75,70.27,84,47,11.16,MG,1641164060
Port Hawkesbury,45.6169,-61.3485,40.42,99,90,5.99,CA,1641164061
Qaryat Sulūq,31.6682,20.2521,55.94,85,0,7.63,LY,1641164061
Hobart,-42.8794,147.3294,61.02,73,75,8.05,AU,1641164479
Namtsy,62.7161,129.6658,-38.09,100,39,3.67,RU,1641164062
Cidreira,-30.1811,-50.2056,73.92,94,100,4.54,BR,1641164062
St. George's,12.0564,-61.7485,80.28,69,20,19.57,GD,1641164062
Chegdomyn,51.1167,133.0167,-18.27,100,100,0.09,RU,1641164063
Kampot,10.6167,104.1833,77.05,72,61,9.82,KH,1641164063
Yabēlo,4.8833,38.0833,60.12,51,7,9.62,ET,1641164064
Plouzané,48.3833,-4.6167,53.92,90,90,20.71,FR,1641164064
Verkhnyaya Toyma,62.2349,44.9985,6.93,94,100,7.85,RU,1641164064
Flinders,-34.5833,150.8552,79.81,69,19,4.0,AU,1641164569
Touros,-5.1989,-35.4608,83.3,75,92,14.58,BR,1641163991
Fortuna,40.5982,-124.1573,52.93,64,100,7.0,US,1641164065
Khatanga,71.9667,102.5,-51.74,99,63,3.85,RU,1641164570
Ribeira Grande,38.5167,-28.7,58.19,85,100,26.35,PT,1641164065
Yining,29.0361,114.5636,41.52,69,3,0.85,CN,1641164066
Roberval,48.5168,-72.2324,1.35,65,75,13.8,CA,1641164066
Cherskiy,68.75,161.3,-0.27,96,99,7.0,RU,1641164571
Itacoatiara,-3.1431,-58.4442,76.05,93,100,3.02,BR,1641164067
Egvekinot,66.3167,-179.1667,16.54,96,100,2.64,RU,1641164067
Lagos,6.5833,3.75,78.1,85,3,1.45,NG,1641164068
Labuhan,-6.8844,112.2051,77.04,88,97,8.79,ID,1641164572
Goderich,43.7501,-81.7165,23.92,79,100,10.36,CA,1641163874
Ponta do Sol,32.6667,-17.1,71.13,16,13,3.94,PT,1641164572
Rūdbār,30.15,62.6,61.79,68,100,11.41,AF,1641164068
Marabu,4.4148,114.0089,75.34,94,40,3.44,MY,1641164069
Shingū,33.7333,135.9833,41.99,78,3,6.15,JP,1641164069
Alekseyevka,50.6309,38.6903,1.98,98,95,4.23,RU,1641164069
Hobyo,5.3505,48.5268,77.72,78,18,12.48,SO,1641164070
Ţahţā,26.7693,31.5021,50.32,67,2,6.58,EG,1641164070
Deputatsky,69.3,139.9,-26.41,95,100,1.05,RU,1641164070
Husavik,66.0449,-17.3389,25.59,91,100,37.78,IS,1641164574
Bambous Virieux,-20.3428,57.7575,73.22,83,20,5.75,MU,1641164574
Bahía Blanca,-38.7196,-62.2724,85.33,24,70,16.8,AR,1641164071
Masvingo,-20.0637,30.8277,65.48,90,34,1.97,ZW,1641164072
Tura,25.5198,90.2201,56.8,62,100,2.93,IN,1641164072
Lagoa,39.05,-27.9833,56.79,83,100,23.82,PT,1641164072
Ekhabi,53.5102,142.9671,-16.65,97,83,9.84,RU,1641164073
Huambo,-12.7761,15.7392,59.94,96,100,1.12,AO,1641164073
Lavrentiya,65.5833,-171.0,0.61,98,99,2.19,RU,1641164074
Tsumeb,-19.2333,17.7167,71.15,46,57,2.39,NA,1641164074
Kumul,42.8,93.45,18.91,56,6,3.36,CN,1641164074
Itarema,-2.9248,-39.9167,80.19,80,22,12.82,BR,1641164075
Port Macquarie,-31.4333,152.9167,76.96,72,85,13.47,AU,1641164055
Cockburn Town,21.4612,-71.1419,76.96,61,20,9.22,TC,1641164075
Great Yarmouth,52.6083,1.7305,49.41,75,69,27.29,GB,1641164075
Taltal,-25.4,-70.4833,68.88,73,1,6.96,CL,1641164076
Chicama,-7.8447,-79.1469,68.54,68,12,8.5,PE,1641164076
Lompoc,34.6391,-120.4579,63.41,44,1,10.0,US,1641163845
Terrace,54.5163,-128.6035,31.42,86,75,17.27,CA,1641163874
Salalah,17.0151,54.0924,73.09,74,98,4.88,OM,1641164578
Sitka,57.0531,-135.33,20.7,83,95,12.46,US,1641164579
Coahuayana Viejo,18.7333,-103.6833,83.71,61,0,6.2,MX,1641164077
Dunda,-8.1167,34.25,64.87,97,89,3.0,TZ,1641164077
Ust'-Shonosha,61.1531,41.343,3.27,97,97,7.14,RU,1641164078
Myślenice,49.8338,19.9383,52.39,73,78,12.3,PL,1641164078
Pathein,16.7833,94.7333,67.66,70,4,4.0,MM,1641164079
Izhma,65.0083,53.9113,4.08,99,94,2.57,RU,1641164079
Beşikdüzü,41.052,39.2284,40.89,88,95,9.01,TR,1641164079
Dingle,10.9995,122.6711,74.03,91,98,11.16,PH,1641164580
Ballina,-28.8667,153.5667,73.58,88,90,17.27,AU,1641164080
Quang Ngai,15.1167,108.8,69.49,92,99,4.34,VN,1641164080
Jumla,29.2747,82.1838,29.66,71,23,5.39,NP,1641164080
Yar-Sale,66.8333,70.8333,-16.47,100,100,10.13,RU,1641164081
Noumea,-22.2763,166.4572,84.0,99,100,9.1,NC,1641164081
Herat Province,34.5,62.0,51.58,74,100,20.2,AF,1641164081
Morondava,-20.2833,44.2833,77.2,73,14,5.66,MG,1641164082
Asău,46.4333,26.4,31.28,92,92,7.76,RO,1641164082
Si Chiang Mai,17.9564,102.5867,59.47,87,4,1.1,TH,1641164082
Upernavik,72.7868,-56.1549,-0.35,82,81,7.45,GL,1641164583
Moree,-29.4667,149.85,80.62,39,0,10.36,AU,1641164083
Caçu,-18.5567,-51.1308,73.54,84,37,1.01,BR,1641163932
Shizunai-furukawachō,42.3339,142.3669,23.2,68,96,32.1,JP,1641164084
Katsuura,35.1333,140.3,41.14,65,1,11.36,JP,1641164584
Maunabo,18.0072,-65.8993,78.62,79,12,11.23,PR,1641164084
Laem Sing,12.4816,102.0738,72.97,74,37,11.07,TH,1641164085
Goundam,16.4145,-3.6708,68.34,21,8,10.13,ML,1641164085
Carutapera,-1.195,-46.02,76.23,94,100,6.04,BR,1641164086
Kiama,-34.6833,150.8667,81.25,65,13,5.99,AU,1641164086
Bandarbeyla,9.4942,50.8122,75.45,74,2,6.26,SO,1641164086
Dera Ismail Khan,31.8327,70.9024,57.54,33,100,2.42,PK,1641164086
San Vicente,-26.6167,-54.1333,81.57,43,59,2.35,AR,1641164585
Campbell River,50.0163,-125.2446,42.46,94,90,8.99,CA,1641163992
Kitimat,54.0524,-128.6534,31.91,31,100,5.3,CA,1641164087
Lorengau,-2.0226,147.2712,82.0,80,98,10.36,PG,1641164586
Sinjai,-5.1241,120.253,76.98,85,100,3.18,ID,1641164088
Kavieng,-2.5744,150.7967,82.47,78,95,10.36,PG,1641164088
Severo-Kuril'sk,50.6789,156.125,24.87,65,72,6.73,RU,1641164584
Comodoro Rivadavia,-45.8667,-67.5,66.07,25,94,27.13,AR,1641164587
Norman Wells,65.282,-126.8329,-21.84,95,100,8.75,CA,1641164587
Namatanai,-3.6667,152.4333,83.16,76,100,8.57,PG,1641164089
Batemans Bay,-35.7167,150.1833,82.2,74,80,4.52,AU,1641164090
Port-Cartier,50.0334,-66.8654,5.11,76,100,10.45,CA,1641164090
Tromsø,69.6496,18.957,28.42,54,40,4.0,NO,1641164090
Pleshanovo,52.8333,53.4833,16.41,94,100,10.56,RU,1641164091
Buta,2.7858,24.73,70.11,96,98,1.95,CD,1641164091
Vila Velha,-20.3297,-40.2925,78.75,87,0,8.01,BR,1641164374
Hambantota,6.1241,81.1185,76.66,83,14,15.48,LK,1641164092
Ruteng,-8.6136,120.4721,65.55,90,100,0.81,ID,1641164092
Alyangula,-13.8483,136.4192,85.87,84,80,4.61,AU,1641164092
Acapulco de Juárez,16.8634,-99.8901,81.41,66,0,7.05,MX,1641164334
Safi,32.2994,-9.2372,61.09,62,49,11.05,MA,1641164093
Cuamba,-14.8031,36.5372,69.69,95,99,0.72,MZ,1641164093
Strezhevoy,60.7333,77.5889,12.18,96,98,5.95,RU,1641164094
Nakonde,-9.3421,32.745,61.61,88,100,2.75,ZM,1641164094
Aden,12.7794,45.0367,77.02,76,30,12.21,YE,1641164095
Punta Alta,-38.8759,-62.0736,83.26,32,72,19.53,AR,1641164095
Daru,-9.0763,143.2092,80.56,83,50,7.2,PG,1641164096
Neuquén,-38.9516,-68.0591,76.89,31,40,14.97,AR,1641164096
Narrabri,-30.3167,149.7833,81.52,43,0,4.0,AU,1641164096
Beldānga,23.9333,88.25,56.61,64,48,7.92,IN,1641164097
Umm Kaddadah,13.6017,26.6876,59.95,37,78,14.85,SD,1641164097
Edmundston,47.3737,-68.3251,14.09,79,90,5.75,CA,1641163827
Datong,40.0936,113.2914,17.94,42,16,1.92,CN,1641164098
Vuktyl,63.8567,57.3094,6.76,94,100,5.41,RU,1641164098
Nola,40.922,14.5329,54.93,87,83,2.86,IT,1641164098
Puerto El Triunfo,13.2833,-88.55,84.36,70,62,7.07,SV,1641164099
Nome,64.5011,-165.4064,-12.26,95,79,2.28,US,1641164593
Nara,34.6851,135.8049,42.04,67,12,2.73,JP,1641164099
Darłowo,54.421,16.4107,46.94,92,98,31.7,PL,1641164100
Ilulissat,69.2167,-51.1,12.22,48,88,2.3,GL,1641164594
Souillac,-20.5167,57.5167,73.36,83,20,5.75,MU,1641164594
Ust-Kuyga,70.0167,135.6,-47.36,99,99,5.46,RU,1641164101
Provideniya,64.3833,-173.3,13.44,97,99,3.11,RU,1641164101
Vao,-22.6667,167.4833,78.49,78,100,19.17,NC,1641164595
Vanimo,-2.6741,141.3028,77.25,91,100,3.91,PG,1641164102
Pevek,69.7008,170.3133,23.14,84,100,16.55,RU,1641164102
Orlândia,-20.7203,-47.8867,75.34,94,41,4.45,BR,1641164085
Pochutla,15.7432,-96.4661,85.82,55,0,6.46,MX,1641164103
Beringovskiy,63.05,179.3167,27.01,94,100,9.48,RU,1641164596
Ahipara,-35.1667,173.1667,73.69,53,100,6.2,NZ,1641164104
Finschhafen,-6.6024,147.8681,83.62,75,100,2.93,PG,1641164104
Dwārka,22.2394,68.9678,70.66,73,1,9.98,IN,1641164597
Westport,41.1415,-73.3579,49.78,89,100,5.01,US,1641164105
Jiuquan,39.7432,98.5174,18.28,43,80,2.46,CN,1641164105
Mitsamiouli,-11.3847,43.2844,82.0,77,44,7.56,KM,1641164597
Sola,-13.8833,167.55,83.05,77,100,17.47,VU,1641164106
Winnemucca,40.973,-117.7357,26.65,50,1,9.22,US,1641164106
Colac,-38.3333,143.5833,63.01,48,11,5.97,AU,1641164106
Mayumba,-3.432,10.6554,77.14,93,90,3.76,GA,1641164107
Ixtapa,20.7,-105.2,78.03,69,1,9.22,MX,1641164598
Chernyshevskiy,63.0128,112.4714,-31.95,100,100,3.0,RU,1641164107
Vardø,70.3705,31.1107,10.6,60,100,12.33,NO,1641164108
Champerico,14.3,-91.9167,88.93,64,23,15.43,GT,1641164108
Pánuco,22.05,-98.1667,67.89,23,8,17.85,MX,1641164108
Klamath Falls,42.2249,-121.7817,36.88,65,82,8.99,US,1641164109
Sobolevo,54.4299,31.8996,21.18,95,100,13.89,RU,1641164109
Saldanha,-33.0117,17.9442,62.6,80,100,21.47,ZA,1641164600
Iskateley,67.6803,53.1512,-2.54,97,100,14.94,RU,1641164110
Alofi,-19.0595,-169.9187,79.7,73,100,20.15,NU,1641164601
Erechim,-27.6342,-52.2739,87.84,61,85,6.82,BR,1641164110
Berlevåg,70.8578,29.0864,19.18,75,96,15.26,NO,1641164111
Thinadhoo,0.5333,72.9333,80.94,78,78,9.71,MV,1641164111
Dambulla,7.86,80.6517,71.38,97,79,4.5,LK,1641164111
Esperance,-33.8667,121.9,60.64,71,2,12.35,AU,1641164112
Luleå,65.5842,22.1547,24.87,93,90,6.91,SE,1641164112
Chimoré,-16.9833,-65.1333,78.04,95,81,2.46,BO,1641164112
College,64.8569,-147.8028,-35.54,97,20,0.0,US,1641163961
Rocha,-34.4833,-54.3333,73.27,80,22,6.67,UY,1641164113
Dunedin,-45.8742,170.5036,68.86,57,100,6.02,NZ,1641164113
Wangqing,43.3218,129.7634,0.88,87,2,2.13,CN,1641164114
Guiyang,26.5833,106.7167,45.09,93,90,2.24,CN,1641164114
Qasigiannguit,68.8193,-51.1922,-3.51,77,95,5.84,GL,1641164115
Brodokalmak,55.5748,62.082,18.5,91,100,15.95,RU,1641164115
Wucheng,29.6008,118.175,39.63,73,2,1.45,CN,1641164116
Erdenet,49.0333,104.0833,-5.04,85,31,3.78,MN,1641164116
Puurmani,58.5738,26.2878,23.22,95,100,6.33,EE,1641164116
Coolum Beach,-26.5333,153.1,80.33,69,20,14.67,AU,1641164117
Kathu,7.9178,98.3332,82.69,75,99,11.14,TH,1641164117
Baghdad,33.3406,44.4009,42.71,70,0,4.61,IQ,1641163939
San Patricio,28.017,-97.5169,54.01,27,0,17.9,US,1641164605
Baloda Bāzār,21.6667,82.1667,58.59,53,4,3.67,IN,1641164118
Santiago del Estero,-27.7951,-64.2615,90.81,29,0,6.29,AR,1641164118
Pangody,65.85,74.4859,-15.88,99,75,8.95,RU,1641164118
Sørland,67.667,12.6934,36.7,78,100,31.59,NO,1641164119
Karratha,-20.7377,116.8463,82.45,56,2,11.68,AU,1641164119
Bopfingen,48.85,10.35,52.11,73,100,15.46,DE,1641164119
Clearwater,27.9659,-82.8001,78.12,84,1,11.01,US,1641164120
Inongo,-1.95,18.2667,73.29,86,100,0.45,CD,1641164120
Buchanan,5.8808,-10.0467,78.76,80,88,7.31,LR,1641164120
Morón,-34.6534,-58.6198,91.29,68,12,4.0,AR,1641164121
Mount Gambier,-37.8333,140.7667,62.51,63,76,14.97,AU,1641164121
Ābādān,30.3392,48.3043,53.55,100,40,11.5,IR,1641164121
Mahibadhoo,3.7833,72.9667,80.69,81,12,12.77,MV,1641164122
Wembley,-31.9333,115.8,72.68,61,0,8.05,AU,1641164122
Xai-Xai,-25.0519,33.6442,72.48,89,99,4.79,MZ,1641164123
Tuatapere,-46.1333,167.6833,70.83,55,100,1.59,NZ,1641164123
Kununurra,-15.7667,128.7333,78.78,89,75,0.0,AU,1641164123
Leshukonskoye,64.8989,45.7622,3.09,95,100,6.2,RU,1641164123
Mugur-Aksy,50.35,90.5,-0.85,79,56,6.29,RU,1641164124
Houma,29.5958,-90.7195,45.0,87,90,21.85,US,1641164058
Athani,16.7333,75.0667,70.36,62,83,9.17,IN,1641164124
Lyngseidet,69.5763,20.2189,28.49,78,100,25.23,NO,1641164125
Mnogovershinnyy,53.9353,139.9242,-25.37,97,90,3.83,RU,1641164125
Puerto Ayacucho,5.6639,-67.6236,89.38,43,25,8.19,VE,1641164125
Makurdi,7.7411,8.5121,78.26,20,26,5.28,NG,1641164126
Amazar,53.858,120.875,-22.99,94,12,4.09,RU,1641164126
Pangnirtung,66.1451,-65.7125,15.48,83,100,8.34,CA,1641164126
Dawei,14.0833,98.2,70.32,72,91,7.61,MM,1641164127
Pilar,-9.5972,-35.9567,76.93,80,61,6.02,BR,1641164127
Padang,-0.9492,100.3543,75.7,82,100,3.83,ID,1641164127
